	primaryName	first	last	first.c	last.c	first.l	last.l	bigram	wv.exists
9715	Norbert Achtelik	Norbert	Achtelik	7	8.0	norbert	achtelik	norbert_achtelik	False
9716	Brian Achten	Brian	Achten	5	6.0	brian	achten	brian_achten	False
9717	Dirk Achten	Dirk	Achten	4	6.0	dirk	achten	dirk_achten	False
9718	Irma Achten	Irma	Achten	4	6.0	irma	achten	irma_achten	False
9719	Ben Achtenberg	Ben	Achtenberg	3	10.0	ben	achtenberg	ben_achtenberg	False
9720	Roberta Achtenberg	Roberta	Achtenberg	7	10.0	roberta	achtenberg	roberta_achtenberg	False
9721	Daniela Achter	Daniela	Achter	7	6.0	daniela	achter	daniela_achter	False
9722	Franz Achter	Franz	Achter	5	6.0	franz	achter	franz_achter	False
9723	Fritz Achterberg	Fritz	Achterberg	5	10.0	fritz	achterberg	fritz_achterberg	False
9724	Jan Rutger Achterberg	Jan	Rutger Achterberg	3	17.0	jan	rutger achterberg	jan_rutger achterberg	False
9725	Monica Achterberg	Monica	Achterberg	6	10.0	monica	achterberg	monica_achterberg	False
9726	Shelly Achterberg	Shelly	Achterberg	6	10.0	shelly	achterberg	shelly_achterberg	False
9727	Helen Achtermann	Helen	Achtermann	5	10.0	helen	achtermann	helen_achtermann	False
9728	Andreas Achternbusch	Andreas	Achternbusch	7	12.0	andreas	achternbusch	andreas_achternbusch	False
9729	Gerda Achternbusch	Gerda	Achternbusch	5	12.0	gerda	achternbusch	gerda_achternbusch	False
9730	Judit Achternbusch	Judit	Achternbusch	5	12.0	judit	achternbusch	judit_achternbusch	False
9731	Rita Achternbusch	Rita	Achternbusch	4	12.0	rita	achternbusch	rita_achternbusch	False
9732	Rut Achternbusch	Rut	Achternbusch	3	12.0	rut	achternbusch	rut_achternbusch	False
9733	Arnie Achtman	Arnie	Achtman	5	7.0	arnie	achtman	arnie_achtman	False
9734	Michael Achtman	Michael	Achtman	7	7.0	michael	achtman	michael_achtman	False
9735	Walter Achuga	Walter	Achuga	6	6.0	walter	achuga	walter_achuga	False
9736	Walter Achugar	Walter	Achugar	6	7.0	walter	achugar	walter_achugar	False
